GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AURUE001,NAME_M,AURUM001
G0600750061503,2020-2024,CA,,,California,06,San Francisco County,075,,,061503,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061503,,,06075061503,"Census Tract 615.03, San Francisco County, California",188441,"Census Tract 615.03, San Francisco County, California",27520
G0600750061504,2020-2024,CA,,,California,06,San Francisco County,075,,,061504,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061504,,,06075061504,"Census Tract 615.04, San Francisco County, California",231414,"Census Tract 615.04, San Francisco County, California",68901
G0600750061505,2020-2024,CA,,,California,06,San Francisco County,075,,,061505,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061505,,,06075061505,"Census Tract 615.05, San Francisco County, California",250001,"Census Tract 615.05, San Francisco County, California",-333333333
G0600750061506,2020-2024,CA,,,California,06,San Francisco County,075,,,061506,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061506,,,06075061506,"Census Tract 615.06, San Francisco County, California",250001,"Census Tract 615.06, San Francisco County, California",-333333333
G0600750061507,2020-2024,CA,,,California,06,San Francisco County,075,,,061507,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061507,,,06075061507,"Census Tract 615.07, San Francisco County, California",118661,"Census Tract 615.07, San Francisco County, California",98610
G0600750061508,2020-2024,CA,,,California,06,San Francisco County,075,,,061508,,,,,,,,,,,,,,,,,,,,,,,1400000US06075061508,,,06075061508,"Census Tract 615.08, San Francisco County, California",157314,"Census Tract 615.08, San Francisco County, California",58971
G0600750980200,2020-2024,CA,,,California,06,San Francisco County,075,,,980200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980200,,,06075980200,"Census Tract 9802, San Francisco County, California",-666666666,"Census Tract 9802, San Francisco County, California",-222222222
G0600750980300,2020-2024,CA,,,California,06,San Francisco County,075,,,980300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980300,,,06075980300,"Census Tract 9803, San Francisco County, California",107188,"Census Tract 9803, San Francisco County, California",43473
G0600750980401,2020-2024,CA,,,California,06,San Francisco County,075,,,980401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980401,,,06075980401,"Census Tract 9804.01, San Francisco County, California",-666666666,"Census Tract 9804.01, San Francisco County, California",-222222222
G0600750980501,2020-2024,CA,,,California,06,San Francisco County,075,,,980501,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980501,,,06075980501,"Census Tract 9805.01, San Francisco County, California",12908,"Census Tract 9805.01, San Francisco County, California",1255
G0600750980600,2020-2024,CA,,,California,06,San Francisco County,075,,,980600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980600,,,06075980600,"Census Tract 9806, San Francisco County, California",154375,"Census Tract 9806, San Francisco County, California",47835
G0600750980900,2020-2024,CA,,,California,06,San Francisco County,075,,,980900,,,,,,,,,,,,,,,,,,,,,,,1400000US06075980900,,,06075980900,"Census Tract 9809, San Francisco County, California",-666666666,"Census Tract 9809, San Francisco County, California",-222222222
G0600750990100,2020-2024,CA,,,California,06,San Francisco County,075,,,990100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075990100,,,06075990100,"Census Tract 9901, San Francisco County, California",-666666666,"Census Tract 9901, San Francisco County, California",-222222222
G0600750990200,2020-2024,CA,,,California,06,San Francisco County,075,,,990200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075990200,,,06075990200,"Census Tract 9902, San Francisco County, California",-666666666,"Census Tract 9902, San Francisco County, California",-222222222
